Date,Open,High,Low,Close,Adj Close,Volume
2018-12-21,283.790009,294.040009,283.309998,290.290009,290.290009,1105400
2018-12-24,286.040009,286.76001,274.019989,281.079987,281.079987,340700
2018-12-26,282.0,307.809998,282.0,307.440002,307.440002,536500
2018-12-27,302.920013,315.910004,300.049988,315.670013,315.670013,669100
2018-12-28,317.47000099999997,324.77999900000003,314.0,318.170013,318.170013,489100
2018-12-31,320.299988,329.910004,320.299988,325.040009,325.040009,483700
2019-01-02,315.940002,320.709991,307.02999900000003,309.959991,309.959991,590000
2019-01-03,307.25,311.73999,293.660004,302.290009,302.290009,665300
2019-01-04,305.309998,321.480011,304.980011,313.440002,313.440002,624300
2019-01-07,313.5,315.5,305.559998,314.799988,314.799988,710600
2019-01-08,318.450012,323.100006,312.22000099999997,318.420013,318.420013,570700
2019-01-09,324.73999,342.97000099999997,322.100006,336.399994,336.399994,623900
2019-01-10,334.100006,340.869995,322.769989,335.130005,335.130005,531100
2019-01-11,332.769989,334.200012,320.519989,323.799988,323.799988,545100
2019-01-14,321.899994,322.0,314.059998,315.25,315.25,343400
2019-01-15,316.619995,327.570007,316.619995,325.609985,325.609985,358200
2019-01-16,326.059998,332.929993,323.290009,324.130005,324.130005,476900
2019-01-17,324.059998,332.940002,324.059998,330.320007,330.320007,305600
2019-01-18,335.200012,337.160004,326.5,333.73999,333.73999,459800
2019-01-22,333.549988,339.670013,330.850006,336.130005,336.130005,669100
2019-01-23,339.140015,344.97000099999997,332.75,336.980011,336.980011,376100
2019-01-24,337.5,349.339996,334.950012,348.5,348.5,734200
2019-01-25,349.98999,353.920013,346.459991,349.369995,349.369995,416000
2019-01-28,348.899994,350.0,333.76001,336.899994,336.899994,388700
2019-01-29,338.380005,339.549988,326.480011,330.380005,330.380005,374300
2019-01-30,331.109985,339.910004,327.380005,339.589996,339.589996,413800
2019-01-31,359.540009,362.670013,342.350006,351.070007,351.070007,1073300
2019-02-01,348.790009,351.450012,340.920013,351.079987,351.079987,496600
2019-02-04,349.179993,352.440002,316.380005,330.410004,330.410004,1682200
2019-02-05,334.160004,350.48999,334.0,344.27999900000003,344.27999900000003,764300
2019-02-06,345.25,350.0,340.01001,344.77999900000003,344.77999900000003,435200
2019-02-07,340.26001,344.019989,335.519989,341.609985,341.609985,300600
2019-02-08,338.52999900000003,341.519989,336.940002,341.209991,341.209991,307500
